,radiation_surface
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,49.86049622400001
9,355.52337004799995
10,706.3814918159999
11,1144.631770128
12,1304.938087992
13,1323.8297226
14,846.4961957759999
15,243.91385726399997
16,0.0
17,0.0
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,0.0
27,0.0
28,0.0
29,0.0
30,0.0
31,0.0
32,181.116470304
33,1041.4721227680002
34,1909.1663680320003
35,2295.061028568
36,2281.274957808
37,1858.991360688
38,1126.253837016
39,286.215602904
40,0.0
41,0.0
42,0.0
43,0.0
44,0.0
45,0.0
46,0.0
47,0.0
48,0.0
49,0.0
50,0.0
51,0.0
52,0.0
53,0.0
54,0.0
55,0.0
56,162.843374232
57,881.480316024
58,1640.049686352
59,2110.26477816
60,1901.5551989280002
61,1486.159395336
62,927.4513580640001
63,266.39091864
64,0.0
65,0.0
66,0.0
67,0.0
68,0.0
69,0.0
70,0.0
71,0.0
72,0.0
73,0.0
74,0.0
75,0.0
76,0.0
77,0.0
78,0.0
79,0.0
80,206.2668762
81,937.201202784
82,1491.67382364
83,1909.23975396
84,1924.5354780960001
85,1617.2056953359997
86,1231.908605928
87,352.70325367199996
88,0.0
89,0.0
90,0.0
91,0.0
92,0.0
93,0.0
94,0.0
95,0.0
96,0.0
97,0.0
98,0.0
99,0.0
100,0.0
101,0.0
102,0.0
103,0.0
104,143.343684792
105,736.039890432
106,1445.8390697519997
107,1863.992087496
108,1908.159932448
109,1603.3672060559998
110,981.998069976
111,255.351578328
112,0.0
113,0.0
114,0.0
115,0.0
116,0.0
117,0.0
118,0.0
119,0.0
120,0.0
121,0.0
122,0.0
123,0.0
124,0.0
125,0.0
126,0.0
127,0.0
128,108.92568456
129,557.638699464
130,823.148986968
131,802.0452908159998
132,1011.457278216
133,930.6069529680001
134,625.090851
135,163.870777224
136,0.0
137,0.0
138,0.0
139,0.0
140,0.0
141,0.0
142,0.0
143,0.0
144,0.0
145,0.0
146,0.0
147,0.0
148,0.0
149,0.0
150,0.0
151,0.0
152,67.75617895199998
153,405.24757812
154,763.4547763920001
155,969.11359776
156,1199.44057464
157,1044.009179136
158,805.1589509040001
159,191.8517832
160,0.010483704
161,0.0
162,0.0
163,0.0
164,0.0
165,0.0
166,0.0
167,0.0
168,0.0
169,0.0
170,0.0
171,0.0
172,0.0
173,0.0
174,0.0
175,0.0
176,109.806315696
177,560.909615112
178,1572.618502224
179,2395.033629912
180,2571.537270456
181,2196.262602072
182,1383.2513568719996
183,392.84535628800006
184,0.062902224
185,0.0
186,0.0
187,0.0
188,0.0
189,0.0
190,0.0
191,0.0
192,0.0
193,0.0
194,0.0
195,0.0
196,0.0
197,0.0
198,0.0
199,0.0
200,188.056682352
201,1133.550495
202,2069.105756256
203,2545.894130472
204,2532.034673784
205,2087.064341208
206,1313.650046016
207,381.826983384
208,0.14677185599999998
209,0.0
210,0.0
211,0.0
212,0.0
213,0.0
214,0.0
215,0.0
216,0.0
217,0.0
218,0.0
219,0.0
220,0.0
221,0.0
222,0.0
223,0.0
224,156.4692822
225,617.7208070879999
226,902.4791751360001
227,914.787043632
228,754.40733984
229,543.611503512
230,363.78452880000003
231,110.120826816
232,0.020967408
233,0.0
234,0.0
235,0.0
236,0.0
237,0.0
238,0.0
239,0.0
240,0.0
241,0.0
242,0.0
243,0.0
244,0.0
245,0.0
246,0.0
247,0.0
248,129.033428832
249,535.224540312
250,925.721546904
251,1247.2357811759998
252,1484.4820026959999
253,1393.0536201119999
254,800.85014856
255,213.584501592
256,0.31451112
257,0.0
258,0.0
259,0.0
260,0.0
261,0.0
262,0.0
263,0.0
264,0.0
265,0.0
266,0.0
267,0.0
268,0.0
269,0.0
270,0.0
271,0.0
272,36.577643255999995
273,161.93129198399998
274,387.4043139120001
275,1076.823172656
276,1166.878190016
277,728.135177616
278,378.870578856
279,139.78970913600003
280,0.324994824
281,0.0
282,0.0
283,0.0
284,0.0
285,0.0
286,0.0
287,0.0
288,0.0
289,0.0
290,0.0
291,0.0
292,0.0
293,0.0
294,0.0
295,0.0
296,122.564983464
297,450.7783045920001
298,973.904650488
299,1513.4799279600002
300,1728.532148112
301,1243.566484776
302,574.328756232
303,158.576506704
304,0.555636312
305,0.0
306,0.0
307,0.0
308,0.0
309,0.0
310,0.0
311,0.0
312,0.0
313,0.0
314,0.0
315,0.0
316,0.0
317,0.0
318,0.0
319,0.0
320,130.763239992
321,535.539051432
322,914.399146584
323,1340.823806784
324,1852.3237249439997
325,1633.5497898719998
326,828.1077789599999
327,252.615331584
328,1.2790118879999999
329,0.0
330,0.0
331,0.0
332,0.0
333,0.0
334,0.0
335,0.0
336,0.0
337,0.0
338,0.0
339,0.0
340,0.0
341,0.0
342,0.0
343,0.0
344,84.05833867199999
345,396.53562009599995
346,731.5109303040002
347,1081.069072776
348,1318.996735056
349,1065.6789953040002
350,667.895814432
351,195.258987
352,0.7548266880000002
353,0.0
354,0.0
355,0.0
356,0.0
357,0.0
358,0.0
359,0.0
360,0.0
361,0.0
362,0.0
363,0.0
364,0.0
365,0.0
366,0.0
367,0.0
368,168.441672168
369,465.728066496
370,907.112972304
371,1479.7957870080002
372,1794.831092208
373,1126.4949622080003
374,903.8106055439999
375,290.807465256
376,3.0297904559999997
377,0.0
378,0.0
379,0.0
380,0.0
381,0.0
382,0.0
383,0.0
384,0.0
385,0.0
386,0.0
387,0.0
388,0.0
389,0.0
390,0.0
391,0.0
392,402.668586936
393,1511.204964192
394,2394.2263847039994
395,2869.767198144
396,2851.72474356
397,2460.31565472
398,1628.549063064
399,582.1076645999999
400,6.583766111999999
401,0.0
402,0.0
403,0.0
404,0.0
405,0.0
406,0.0
407,0.0
408,0.0
409,0.0
410,0.0
411,0.0
412,0.0
413,0.0
414,0.0
415,0.031451112
416,127.093943592
417,399.879921672
418,657.108083016
419,865.8700807680001
420,962.414510904
421,895.8639579119998
422,600.34930956
423,254.33465904000002
424,5.147498664
425,0.0
426,0.0
427,0.0
428,0.0
429,0.0
430,0.0
431,0.0
432,0.0
433,0.0
434,0.0
435,0.0
436,0.0
437,0.0
438,0.0
439,0.020967408
440,98.47343167199998
441,403.350027696
442,768.235345416
443,1015.6402761119999
444,1010.7339026399999
445,822.981247704
446,510.34671072
447,177.58346205599997
448,3.2080134240000002
449,0.0
450,0.0
451,0.0
452,0.0
453,0.0
454,0.0
455,0.0
456,0.0
457,0.0
458,0.0
459,0.0
460,0.0
461,0.0
462,0.0
463,0.6919244640000001
464,467.489328768
465,1523.0200986000002
466,2399.0279211360003
467,2899.2159226800004
468,2816.23740552
469,2383.595908848
470,1560.6775633680002
471,558.5088468959999
472,11.794167000000002
473,0.0
474,0.0
475,0.0
476,0.0
477,0.0
478,0.0
