,0
0,13161.43302
1,24182.88368
2,20651.42902
3,21300.16393
4,19686.48925
5,11062.87548
6,11995.11873
7,24629.50516
8,26984.02377
9,9610.559038
10,14821.98193
11,8979.165297
12,14903.00741
13,16495.69258
14,12205.93737
15,15726.23919
16,32393.05739
17,10501.90856
18,10595.47232
19,32201.68117
20,17594.39712
21,18028.68814
22,35447.61858
23,11552.44577
24,18562.8236
25,12445.98891
26,24004.29974
27,40876.74116
28,11324.44761
29,28372.4019
30,19102.89338
31,22608.09384
32,37186.60681
33,39818.72254
34,16783.08018
35,9764.574407
36,22845.18977
37,35017.25299
38,8301.613126
39,38967.6664
40,27409.07848
41,52544.71001
42,22190.68218
43,45832.57243
44,53839.54746
45,53215.26568
46,31518.93358
47,45305.08711
48,19048.14519
49,39723.51933
50,55621.18432
51,60228.71457
52,58163.66173
53,54835.52121
54,63929.35523
55,73419.35741
56,74192.15896
57,63425.46866
58,27701.47678
59,26949.9649
60,61075.47583
61,17968.74453
62,57450.94233
63,50735.2026
64,44035.00295
65,52379.38016
66,40232.3935
67,65955.03833
68,66196.12895
69,90018.42732
70,19980.73481
71,79341.05208
72,59696.93437
73,63936.9059
74,46570.96876
75,69941.35786
76,39491.89592
77,56328.50048
78,66985.78676
79,84885.2821
80,70133.75007
81,70476.53241
82,112722.6018
83,115381.5028
84,98758.85725
85,114529.246
86,112506.5647
87,112164.0132
88,110190.2843
89,63389.47017
90,119347.0407
91,52364.57899
92,73830.04966
93,39603.49356
94,68064.44853
95,103203.1358
96,94421.7198
97,63710.96282
98,67792.76264
99,140382.8154
100,143724.8335
101,136048.5874
102,122882.7902
103,96476.1509
104,127513.6652
105,68888.1883
106,113952.5081
107,90110.67491
108,137973.9873
109,150763.9131
110,155026.375
111,134136.4416
112,127805.7172
113,90536.35307
114,105533.4553
115,103123.4958
116,99564.67859
117,128176.3931
118,156477.9988
119,151278.3291
120,100125.2068
121,127594.9216
122,100625.8145
123,118413.2273
124,146177.9958
125,127070.0917
126,119121.9058
127,88281.10163
128,75824.23697
129,108536.7781
130,139776.5213
131,179579.7961
132,178277.7775
133,179355.1461
134,177721.9829
135,171971.968
136,74680.04363
