,0
0,0
1,0
2,0
3,370.9992409
4,1025.783922
5,1997.9511
6,3259.306956
7,3953.184294
8,2481.148344
9,1990.67751
10,640.5145916
11,6.67322964
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,886.8930008
28,3328.486872
29,5273.375406
30,6320.772279
31,6281.033081
32,5418.939557
33,3586.941749
34,1282.114449
35,14.50099728
36,0
37,0
38,0
39,0
40,0
41,0
42,0
43,0
44,0
45,0
46,0
47,0
48,0
49,0
50,0.06927228
51,279.9292835
52,880.7508587
53,1447.305746
54,1907.11205
55,2119.754859
56,1973.174714
57,1322.292371
58,560.1818376
59,11.33756316
60,0
61,0
62,0
63,0
64,0
65,0
66,0
67,0
68,0
69,0
70,0
71,0
72,0
73,0
74,0.04618152
75,216.8915087
76,888.3939002
77,1692.067802
78,2236.986647
79,2226.180172
80,1812.647751
81,1124.058197
82,391.1343836
83,7.06577256
84,0
85,0
86,0
87,0
88,0
89,0
90,0
91,0
92,0
93,0
94,0
95,0
96,0
97,0
98,1.52399016
99,1029.66317
100,3354.510159
101,5283.950974
102,6385.634224
103,6202.870859
104,5249.961375
105,3437.452169
106,1230.137148
107,25.977105
108,0
109,0
110,0
111,0
112,0
113,0
114,0
115,0
116,0
117,0
118,0
119,0
120,0
121,0
122,1.45471788
123,524.067889
124,1677.474442
125,2789.663988
126,3821.82096
127,3975.143606
128,2614.42821
129,1527.476865
130,642.015491
131,20.85095628
132,0
133,0
134,0
135,0
136,0
137,0
138,0
139,0
140,0
141,0
142,0
143,0
144,0
145,0
146,3.2327064
147,651.067069
148,3023.96593
149,5111.324452
150,4847.23543
151,2413.469326
152,1098.843087
153,563.3914532
154,302.488956
155,13.66972992
156,0
157,0
158,0
159,0
160,0
161,0
162,0
163,0
164,0
165,0
166,0
167,0
168,0
169,0
170,5.61105468
171,901.0938182
172,2872.144183
173,5742.464195
174,6981.676012
175,7114.124611
176,6045.992235
177,4053.721463
178,1671.147573
179,59.64343308
180,0
181,0
182,0
183,0
184,0
185,0
186,0
187,0
188,0
189,0
190,0
191,0
192,0
193,0
194,3.60215856
195,397.4381611
196,1425.323343
197,2113.982169
198,2268.043719
199,1868.134847
200,1716.959641
201,1259.924229
202,477.0781924
203,21.95931276
204,0
205,0
206,0
207,0
208,0
209,0
210,0
211,0
212,0
213,0
214,0
215,0
216,0
217,0
218,4.77978732
219,455.6268763
220,1508.704077
221,2666.359329
222,3559.533017
223,4181.321002
224,3446.850108
225,1953.570659
226,752.2045978
227,33.87414492
228,0
229,0
230,0
231,0
232,0
233,0
234,0
235,0
236,0
237,0
238,0
239,0
240,0
241,0
242,6.97340952
243,481.442346
244,1395.513171
245,1892.21851
246,2197.478357
247,2447.736014
248,2042.446994
249,1229.375153
250,735.3252522
251,17.47970532
252,0
253,0
254,0
255,0
256,0
257,0
258,0
259,0
260,0
261,0
262,0
263,0
264,0
265,0
266,25.1689284
267,1332.544669
268,3142.790981
269,4135.301118
270,4768.588301
271,3888.899618
272,2974.667157
273,2361.03021
274,1297.700712
275,77.60804436
276,0
277,0
278,0
279,0
280,0
281,0
282,0
283,0
284,0
285,0
286,0
287,0
288,0
289,0
290,27.80127504
291,955.2647412
292,4297.675342
293,6445.808745
294,7660.913808
295,7707.049147
296,6712.922656
297,4763.531425
298,2156.145897
299,149.6281248
300,0
301,0
302,0
303,0
304,0
305,0
306,0
307,0
308,0
309,0
310,0
311,0
312,0
313,0
314,14.73190488
315,345.114499
316,846.5534431
317,1453.263162
318,2228.443066
319,2641.836942
320,2244.537326
321,1199.541891
322,335.0700184
323,15.3553554
324,0
325,0
326,0
327,0
328,0
329,0
330,0
331,0
332,0
333,0
334,0
335,0
336,0
337,0
338,29.83326192
339,837.8251358
340,2395.527805
341,4696.291132
342,5895.301936
343,4920.664047
344,4465.429713
345,3357.096324
346,1629.838204
347,144.5943391
348,0
349,0
350,0
351,0
352,0
353,0
354,0
355,0
356,0
357,0
358,0
359,0
360,0
361,0
362,54.9560088
363,1201.666241
364,2888.376987
365,4215.310601
366,4025.712371
367,3065.529298
368,1948.12124
369,1146.502416
370,512.6841443
371,44.03407932
372,0
373,0
374,0
375,0
376,0
