,Output
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,109.8196546
9,783.0538531
10,1555.832318
11,2521.095358
12,2874.176169
13,2915.785719
14,1864.440325
15,537.2296222
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,398.9159698
33,2293.88228
34,4205.012122
35,5054.959907
36,5024.595558
37,4094.499745
38,2480.617256
39,630.4008388
40,0
41,0
42,0
43,0
44,0
45,0
46,0
47,0
48,0
49,0
50,0
51,0
52,0
53,0
54,0
55,0
56,358.6687751
57,1941.494192
58,3612.272313
59,4647.93908
60,4188.24823
61,3273.323047
62,2042.747174
63,586.7362116
64,0
65,0
66,0
67,0
68,0
69,0
70,0
71,0
72,0
73,0
74,0
75,0
76,0
77,0
78,0
79,0
80,454.310703
81,2064.221581
82,3285.468787
83,4205.173757
84,4238.863176
85,3561.957547
86,2713.325935
87,776.8424387
88,0
89,0
90,0
91,0
92,0
93,0
94,0
95,0
96,0
97,0
98,0
99,0
100,0
101,0
102,0
103,0
104,315.7199615
105,1621.156078
106,3184.515984
107,4105.514037
108,4202.795409
109,3531.477744
110,2162.888398
111,562.4216413
112,0
113,0
114,0
115,0
116,0
117,0
118,0
119,0
120,0
121,0
122,0
123,0
124,0
125,0
126,0
127,0
128,239.9129964
129,1228.220615
130,1813.017203
131,1766.535503
132,2227.773434
133,2049.697493
134,1376.786565
135,360.9316696
136,0
137,0
138,0
139,0
140,0
141,0
142,0
143,0
144,0
145,0
146,0
147,0
148,0
149,0
150,0
151,0
152,149.2355819
153,892.5733278
154,1681.538415
155,2134.509854
156,2641.813852
157,2299.470244
158,1773.393459
159,422.560908
160,0.02309076
161,0
162,0
163,0
164,0
165,0
166,0
167,0
168,0
169,0
170,0
171,0
172,0
173,0
174,0
175,0
176,241.8526202
177,1235.424932
178,3463.752545
179,5275.153394
180,5663.90943
181,4837.352585
182,3046.664147
183,865.2569587
184,0.13854456
185,0
186,0
187,0
188,0
189,0
190,0
191,0
192,0
193,0
194,0
195,0
196,0
197,0
198,0
199,0
200,414.2020529
201,2496.688425
202,4557.284757
203,5607.429431
204,5576.903446
205,4596.839229
206,2893.364591
207,840.98857
208,0.32327064
209,0
210,0
211,0
212,0
213,0
214,0
215,0
216,0
217,0
218,0
219,0
220,0
221,0
222,0
223,0
224,344.629593
225,1360.553761
226,1987.744984
227,2014.853536
228,1661.61109
229,1197.325178
230,801.249372
231,242.545343
232,0.04618152
233,0
234,0
235,0
236,0
237,0
238,0
239,0
240,0
241,0
242,0
243,0
244,0
245,0
246,0
247,0
248,284.2010741
249,1178.85257
250,2038.937199
251,2747.084626
252,3269.628525
253,3068.254007
254,1763.903156
255,470.4280535
256,0.6927228
257,0
258,0
259,0
260,0
261,0
262,0
263,0
264,0
265,0
266,0
267,0
268,0
269,0
270,0
271,0
272,80.56366164
273,356.659879
274,853.2728543
275,2371.744323
276,2570.093951
277,1603.745645
278,834.4769756
279,307.8921938
280,0.71581356
281,0
282,0
283,0
284,0
285,0
286,0
287,0
288,0
289,0
290,0
291,0
292,0
293,0
294,0
295,0
296,269.9540752
297,992.8564985
298,2145.062332
299,3333.497567
300,3807.158327
301,2739.00286
302,1264.981105
303,349.2708358
304,1.22381028
305,0
306,0
307,0
308,0
309,0
310,0
311,0
312,0
313,0
314,0
315,0
316,0
317,0
318,0
319,0
320,288.0110495
321,1179.545293
322,2013.999178
323,2953.215841
324,4079.814021
325,3597.956042
326,1823.939132
327,556.394953
328,2.81707272
329,0
330,0
331,0
332,0
333,0
334,0
335,0
336,0
337,0
338,0
339,0
340,0
341,0
342,0
343,0
344,185.1417137
345,873.3849062
346,1611.18087
347,2381.09608
348,2905.140879
349,2347.198845
350,1471.066138
351,430.065405
352,1.66253472
353,0
354,0
355,0
356,0
357,0
358,0
359,0
360,0
361,0
362,0
363,0
364,0
365,0
366,0
367,0
368,370.9992409
369,1025.783922
370,1997.9511
371,3259.306956
372,3953.184294
373,2481.148344
374,1990.67751
375,640.5145916
376,6.67322964
377,0
378,0
379,0
380,0
381,0
382,0
383,0
384,0
385,0
386,0
387,0
388,0
389,0
390,0
391,0
392,886.8930008
393,3328.486872
