DateTime,Elec,directIrr,diffuseIrr,some other shit
01/01/2019 00:00,0,0,0,5.571
01/01/2019 01:00,0,0,0,5.452
01/01/2019 02:00,0,0,0,5.327
01/01/2019 03:00,0,0,0,5.546
01/01/2019 04:00,0,0,0,5.805
01/01/2019 05:00,0,0,0,5.936
01/01/2019 06:00,0,0,0,6.032
01/01/2019 07:00,0,0,0,6.09
01/01/2019 08:00,0,0.001,0.004,6.274
01/01/2019 09:00,0.022,0.004,0.029,6.704
01/01/2019 10:00,0.054,0.009,0.056,7.327
01/01/2019 11:00,0.102,0.025,0.087,8.027
01/01/2019 12:00,0.124,0.038,0.096,8.513
01/01/2019 13:00,0.143,0.06,0.092,8.648
01/01/2019 14:00,0.09,0.041,0.06,8.225
01/01/2019 15:00,0.025,0.018,0.018,6.801
01/01/2019 16:00,0,0,0,5.067
01/01/2019 17:00,0,0,0,3.76
01/01/2019 18:00,0,0,0,2.926
01/01/2019 19:00,0,0,0,2.24
01/01/2019 20:00,0,0,0,1.728
01/01/2019 21:00,0,0,0,1.673
01/01/2019 22:00,0,0,0,1.84
01/01/2019 23:00,0,0,0,1.79
02/01/2019 00:00,0,0,0,1.006
02/01/2019 01:00,0,0,0,0.483
02/01/2019 02:00,0,0,0,0.123
02/01/2019 03:00,0,0,0,-0.11
02/01/2019 04:00,0,0,0,-0.548
02/01/2019 05:00,0,0,0,-0.862
02/01/2019 06:00,0,0,0,-1.189
02/01/2019 07:00,0,0,0,-1.579
02/01/2019 08:00,0.032,0.031,0.012,-1.656
02/01/2019 09:00,0.229,0.176,0.049,-0.205
02/01/2019 10:00,0.418,0.345,0.063,0.95
02/01/2019 11:00,0.467,0.386,0.073,2.228
02/01/2019 12:00,0.447,0.365,0.077,3.8
02/01/2019 13:00,0.359,0.281,0.073,4.281
02/01/2019 14:00,0.212,0.157,0.057,3.785
02/01/2019 15:00,0.052,0.044,0.018,1.837
02/01/2019 16:00,0,0,0,0.639
02/01/2019 17:00,0,0,0,0.427
02/01/2019 18:00,0,0,0,0.322
